Timestamp,OC-02-S1_temperature,OC-02-S1_contact,OC-02-S1_tamper,OC-01-HWA_temperature,OC-01-HWA_tamper,OC-00-H1_tamper,OC-00-H1_contact_x,OC-00-H1_temperature,A6-00-HW_humidity,A6-00-HW_temperature,A6-00-HW_motion,A6-00-HW_illuminance,A6-00-HW_tamper,A6-02-SL_humidity,A6-02-SL_temperature,A6-02-SL_illuminance,A6-02-SL_motion,A6-02-B4_humidity,A6-02-B4_temperature,A6-02-B4_illuminance,A6-02-B4_motion,A6-01-B3_humidity,A6-01-B3_temperature,A6-01-B3_illuminance,A6-01-B3_motion,A6-01-B1_humidity_x,A6-01-B1_temperature_x,A6-01-B1_illuminance_x,A6-01-B1_motion_x,A6-00-K1_humidity_x,A6-00-K1_temperature_x,A6-00-K1_motion_x,A6-00-K1_illuminance_x,A6-00-K1_tamper_x,A6-00-L1_humidity,A6-00-L1_temperature,A6-00-L1_motion,A6-00-L1_illuminance,A6-00-L1_ultravioletIndex,A6-01-B2_humidity,A6-01-B2_temperature,A6-01-B2_illuminance,A6-01-B2_motion,A6-01-B2_tamper,S3-00-L1_Mass Concentration PM1.0,S3-00-L1_Mass Concentration PM2.5,S3-00-L1_Mass Concentration PM4.0,S3-00-L1_Mass Concentration PM10.0,S3-00-L1_Number Concentration NC0.5,S3-00-L1_Number Concentration NC1.0,S3-00-L1_Number Concentration NC2.5,S3-00-L1_Number Concentration NC4.0,S3-00-L1_Number Concentration NC10.0,S3-00-L1_Typical Particle Size,OC-01-B3_temperature,OC-01-B3_tamper,OC-01-B3_contact,OC-01-B3A_temperature,OC-00-L1_temperature,OC-00-L1_tamper,A6-01-H2_motion,A6-01-H2_humidity,A6-01-H2_temperature,A6-01-H2_illuminance,A6-02-H3_humidity,A6-02-H3_temperature,A6-02-H3_illuminance,A6-02-H3_motion,A6-02-H3_tamper,S3-01-B1_Mass Concentration PM1.0,S3-01-B1_Mass Concentration PM10.0,S3-01-B1_Mass Concentration PM2.5,S3-01-B1_Mass Concentration PM4.0,S3-01-B1_Number Concentration NC0.5,S3-01-B1_Number Concentration NC1.0,S3-01-B1_Number Concentration NC10.0,S3-01-B1_Number Concentration NC2.5,S3-01-B1_Number Concentration NC4.0,S3-01-B1_Typical Particle Size,OC-00-H1_contact_y,OC-00-U1_contact,OC-01-W1_contact,A6-00-K1_humidity_y,A6-00-K1_illuminance_y,A6-00-K1_motion_y,A6-00-K1_temperature_y,A6-00-K1_tamper_y,A6-01-B1_humidity_y,A6-01-B1_illuminance_y,A6-01-B1_motion_y,A6-01-B1_temperature_y,OC-00-L1_contact,OC-01-HB_contact,OC-01-BD_contact
2022-10-18 00:00:29,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:30,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:31,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:32,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:33,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:34,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:35,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:36,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:37,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:38,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:39,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:40,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:41,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:42,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:43,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:44,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:45,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:46,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:47,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:48,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:49,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:50,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:51,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:52,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:53,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:54,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:55,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:56,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:57,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:58,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:59,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:01:00,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
